48 -326
22 30 22
13 27 5
27 16 24
38 34 20
40 20 24
40 4 16
9 31 19
13 12 25
23 42 25
40 27 23
39 26 15
39 26 24
16 22 20
13 11 10
19 21 20
15 5 9
10 20 17
41 23 11
16 37 13
32 36 10
25 42 4
43 42 21
42 38 11
27 46 19
47 48 15
1 9 22
20 3 12
19 7 23
45 16 16
20 9 10
47 2 2
4 14 10
20 40 24
18 45 13
39 45 1
41 22 1
24 7 17
43 42 25
35 34 17
12 38 13
15 12 12
25 16 10
3 25 8
16 40 18
26 23 21
41 25 1
33 25 15
18 30 1
6 2 8
24 21 23
40 15 24
41 15 11
5 45 19
8 22 6
25 45 23
5 6 9
32 31 6
18 22 2
13 29 22
33 13 18
2 36 22
40 45 24
1 5 19
10 18 14
1 28 2
40 19 8
7 34 7
31 32 1
8 22 1
3 43 16
40 22 18
37 18 15
4 3 13
20 13 1
11 16 15
35 22 10
40 3 22
29 22 4
38 21 15
10 18 18
14 35 3
20 24 15
16 13 4
44 27 6
23 34 1
47 1 17
47 31 18
33 1 7
38 5 12
28 11 7
31 23 23
47 43 1
6 16 17
33 4 21
35 32 13
45 38 1
9 10 15
47 24 5
39 36 8
6 13 11
43 45 7
26 7 3
14 35 25
16 4 12
14 5 11
33 4 16
37 33 2
27 44 1
28 37 23
28 3 21
3 9 3
42 9 21
41 20 15
48 41 17
34 3 11
41 24 8
35 20 25
16 31 20
9 47 8
43 41 17
9 24 15
12 29 1
16 26 17
20 18 14
10 21 13
13 31 24
34 6 2
47 4 21
5 31 18
28 22 24
8 23 12
8 23 21
43 33 8
12 29 5
47 31 7
4 5 7
46 35 24
8 27 14
9 10 -5
42 13 4
37 23 13
13 43 11
19 16 9
2 8 24
25 10 12
1 7 16
2 12 3
14 15 -4
36 34 12
16 45 11
28 18 3
27 39 20
25 28 11
32 10 24
38 46 24
20 11 1
38 11 3
23 25 12
46 16 24
7 23 16
34 6 1
41 4 5
25 20 21
27 46 18
6 42 13
23 10 5
10 32 17
12 6 21
33 41 22
8 4 15
27 20 1
3 22 25
20 29 23
3 25 21
7 42 15
30 18 22
13 12 14
28 2 22
5 20 12
42 16 17
37 12 21
45 43 9
15 21 19
31 33 11
41 19 21
38 7 14
12 32 10
37 19 10
13 39 8
10 35 13
34 32 22
10 16 8
45 9 24
17 21 17
1 28 24
16 41 17
23 43 1
21 37 24
32 12 18
31 6 6
28 43 22
44 14 4
33 40 24
40 42 8
38 45 3
4 2 20
39 22 5
7 15 19
38 25 12
20 21 4
12 1 12
35 22 9
35 3 4
46 8 23
5 3 20
28 5 8
41 38 1
40 11 6
40 11 15
2 3 23
19 22 13
4 48 14
13 37 5
45 31 6
20 43 13
21 36 17
42 30 8
43 46 1
36 39 6
29 7 8
35 40 20
48 31 -2
14 17 20
44 42 24
26 45 24
32 26 23
21 13 19
35 37 5
28 46 18
17 35 7
45 15 7
31 12 21
24 22 11
27 11 7
48 43 3
44 20 9
7 14 17
11 42 2
28 46 13
21 28 21
2 10 2
39 9 6
39 32 17
17 35 2
45 34 15
6 28 12
33 35 20
2 13 22
3 20 20
20 19 14
41 10 18
31 16 13
35 47 -9
19 31 15
37 21 3
33 38 16
3 16 17
43 29 23
25 10 11
26 3 21
36 35 16
45 22 4
11 19 17
3 31 11
25 22 21
18 2 6
37 28 10
27 36 13
13 21 9
24 5 20
32 22 6
44 42 -5
29 10 17
6 9 6
33 46 15
6 8 10
29 22 9
45 21 16
46 40 16
12 48 17
13 25 2
36 12 9
34 40 25
11 41 9
48 26 20
12 29 3
45 3 22
27 32 1
12 44 6
26 44 25
38 39 6
34 25 17
47 26 11
23 29 3
22 42 25
10 48 19
17 10 20
33 11 15
4 12 21
42 43 11
45 28 19
26 44 2
33 34 13
8 38 16
34 25 3
48 37 2
4 43 4
29 47 10
27 24 15
7 47 16
47 30 12
28 48 24
12 10 7
20 29 21
31 37 11
36 7 23
